observation_id,study_number,reference,independent_variable ,dependent_variable,additional independent variable,genus,organism(s),generation_time_metric ,generation_local_time ,generation_local_time_unit,generation_time_standardized_hours,generation_time_standardized_days,generation_local_time_source,generation_local_time_TEMP,generation_time_temp_conditions,dispersal,wave_type,variation_color,larger group,organization_level,duration,duration_unit,duration_standardized_days,flux_period,flux_period_unit,flux_period_days,flux_period_hours,manipulate_explicity ,natural_period ,notes
,21,duncan_2011,temperature,parasite extinction,,Holospora,Holospora undulata,generation time ,24,hours,24,1,referenced in paper,,,none ,square ,white ,plankton,host-parasite,30,days ,30,24,hours ,1,24,y,"mathematical, random?",
,22,radmacher_2011,temperature,prepupal weight,,Osmia,Osmia bicornis,development time,14-15 ,weeks,2436,101.5,referenced in paper,,,none ,sinusoidal,not considered,insect ,population,14-15,weeks,14.5,24,hours ,1,24,y,"mathematical, diurnal cycle?",
,22,radmacher_2011,temperature,mortality,,Osmia,Osmia bicornis,development time,14-15 ,weeks,2436,101.5,referenced in paper,,,none ,sinusoidal,not considered,insect ,population,14-15,weeks,14.5,24,hours ,1,24,y,"mathematical, diurnal cycle?",
,22,radmacher_2011,temperature,development time,,Osmia,Osmia bicornis,development time,14-15 ,weeks,2436,101.5,referenced in paper,,,none ,sinusoidal,not considered,insect ,population,14-15,weeks,14.5,24,hours ,1,24,y,"mathematical, diurnal cycle?",
,23,barfield_1978 ,temperature ,development time,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,not considered,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",almost no info on how the variation patterns were orchestrated--only the differences between max's and min
,23,barfield_1978 ,temperature ,development rate,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,not considered,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",
,23,barfield_1978 ,temperature ,percent survival,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,not considered,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",
,23,barfield_1978 ,temperature ,development time,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,white ,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",almost no info on how the variation patterns were orchestrated--only the differences between max's and min
,23,barfield_1978 ,temperature ,development rate,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,white ,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",
,23,barfield_1978 ,temperature ,percent survival,,Spodoptera,Spodoptera frugiperda,development time,3.7,days ,88.8,3.7,The Effect of Temperature on the Development of Spodoptera ...www.mdpi.com › pdf,25 C ,,none ,,white ,insect ,population ,45,days,45,24,hours ,1,24,y,"mathematical, random?",
,24,butler_1980,temperature ,development time (emergence date),,Trichogramma ,Trichogramma pretiosum,generation time ,11.7,days ,280.8,11.7,https://watermark.silverchair.com/aesa97-0729.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAsIwggK-BgkqhkiG9w0BBwagggKvMIICqwIBADCCAqQGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMUyENFn5GRooWweuJAgEQgIICdZkFID9AlquvfPj5GNo8OBFggkSuRR4VGN6yeSba8PqhaRz2j1Q2-OxM55BTP9yMrQQMIg7uL1dxklQmmn1eNFl9jY2un-s-Odl01GbhtprWmI_CEcXerXSRLgkq0x63Urp7u4jDBn0KN3AFfqkBZ5oDaLMUbaQwSNMmKruupKRbjoCyKZeMwBiTH7mA9Iect7la31Wdlo1fOcVdZIeHwtQOipjxGddNdOpdwj234o4kLS-HUDHCMWEIxz30T09XbV3ZnBv4fvwvEvOOVVPpe24JQxNDBmzTdFTVK95jG5OsaDSJLJvkyaLZoNi3oiEtLqgbWZZYG1n3ylYrsvtYH-7ZJkqwJFydrysHTmTKc1x0HlTcysLFoUMlr_UBBFvN53XdwrVFRlyRZahZfIQe9WSn_FQaepeYr7c3aD1xj5Nx9mc7udx9cJqOND6n6aKk4gzBY3m2re2mv0c_exBYv9mmlFpN6bQ3__gZyX3ZI2n0o6A3Ob13M7Htkh9aGMgBn6QtCpj0P_7lkZuBenKpup14bNFJPPbTFqStmqTveM6n24jXQYf1gxxsfevrJhTtdZSw8me-M17YY4jSOLCE4F7wLXu4SfZtMznXwIXnkoVl_VzyH0njDawcFtdl5ij58EcdQsNfqbzR5LCeLSJz48a1H-ynUVNth7wS21QrxFQJC675-tPOu_Zxt0nDRibRfGWW4_S3YDo6ho9e1O9ZLyqncXeCI7cvgJPZL5ya8SMdKQfTyCJMgWe-Fp0NMrF_DU2GQsKVFywMXw1Cmif8w20-gd1YJjabxR_aUKY6Q838dEyzNtptL74NPm_dqz3WJRF6MrYZ,25 C,,none ,,not considered,insect ,population,,,,24,hours ,1,24,y,"mathematical, no clatification on pattern","likely that this study should just get tossed, no enough information on the variability to reliably categorize, almost no information of period of fluctuation--assuming daily cycle"
,25,butler_1966,temperature,development time,,Spodoplem,Spodoplem exigua,generation time,12.5-37.6,days,601.2,25.05,referenced in paper,,,none,sinusoidal,not considered,insect ,individual,,,,24,hours ,1,24,y,diurnal cycle,
,25,butler_1966,temperature,development time,,Chelonus,Chelonus lexaus,generation time,11-22,days,396,16.5,referenced in paper ,,,none,sinusoidal,not considered,insect ,individual,,,,24,hours ,1,24,y,diurnal cycle,
,25,butler_1966,temperature,time to death,,Spodoplem,Spodoplem exigua,generation time,12.5-37.6,days,601.2,25.05,referenced in paper,,,none,sinusoidal,not considered,insect ,host-parasite,,,,24,hours ,1,24,y,diurnal cycle,
,26,butler_1968,temperature ,development time ,,Exorista,Exorista mella,,10,days ,240,10,"https://en.wikipedia.org/wiki/Exorista_mella#:~:text=On%20average%2C%20the%20larval%20development,occur%20when%20the%20host%20molts.",,,none,sinusoidal,not considered,insect ,individual ,,,,24,hours ,1,24,y,diurnal cycle,
,27,davis_2006,temperature,survivorship ,,Myzus ,Myzus persicae,,10.5,days,252,10.5,referenced in paper,23.1,fluctuating,none,,not considered,insect ,population,17-36,days,26.5,24,hours ,1,24,y,"mathematical, unclear",pulse press study--not sure how to categorize 
,27,davis_2006,temperature,number of progeny per female,,Myzus ,Myzus persicae,,10.5,days,252,10.5,referenced in paper,23.1,fluctuating,none,,not considered,insect ,population,17-41,days,29,24,hours ,1,24,y,"mathematical, unclear",pulse press study--not sure how to categorize 
,28,eubank_1973,temperature,development time ,,Heliothis,Heliothis zea,time to final instar,11-13,days,288,12,https://academic.oup.com/aesa/article-abstract/78/1/24/132734,25 C,,none ,sinusoidal ,not considered,insect ,population,,,,24,hours,1,24,y,diurnal cycle,
,28,eubank_1973,temperature,development rate,,Heliothis,Heliothis zea,time to final instar,11-13,days,288,12,https://academic.oup.com/aesa/article-abstract/78/1/24/132734,25 C,,none ,sinusoidal ,not considered,insect ,population,,,,24,hours,1,24,y,diurnal cycle,
,29,fielding_1988,temperature ,degree days for egg hatch ,,Anasa,Anasa tristis,development time,37,days,888,37,https://academic.oup.com/ee/article-abstract/18/6/1083/2393932?redirectedFrom=fulltext,26.7,constant,none,square ,not considered,insect ,individual,,,,24,hours,1,24,y,diurnal cycle,
,29,fielding_1988,temperature ,survival rate ,,Anasa,Anasa tristis,development time,37,days,888,37,https://academic.oup.com/ee/article-abstract/18/6/1083/2393932?redirectedFrom=fulltext,26.7,constant,none,square ,not considered,insect ,individual,,,,24,hours,1,24,y,diurnal cycle,
,29,fielding_1988,temperature ,teneral adult weight ,,Anasa,Anasa tristis,development time,37,days,888,37,https://academic.oup.com/ee/article-abstract/18/6/1083/2393932?redirectedFrom=fulltext,26.7,constant,none,square ,not considered,insect ,individual,,,,24,hours,1,24,y,diurnal cycle,
,29,fielding_1988,temperature ,mesothoracic femur length ,,Anasa,Anasa tristis,development time,37,days,888,37,https://academic.oup.com/ee/article-abstract/18/6/1083/2393932?redirectedFrom=fulltext,26.7,constant,none,square ,not considered,insect ,individual,,,,24,hours,1,24,y,diurnal cycle,
,30,hagstrum_1991,temperature,developmental time,,Tribolium,Tribolium castaneum,generation time,24,days,576,24,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,fluctuating ,none ,sinusoidal ,not considered,insect ,individual,,,,24,hours,1,24,y ,diurnal cycle,compiles several studies that feature development time at both constant and fluctuating temperatures 
,31,harries_1948,temperature ,duration of egg stage,,Eutettix,Eutettix tenellus,,1-3,weeks,336,14,referenced in paper,,,none,sinusoidal ,not considered,insect ,individual,10,days ,10,24,hours,1,24,n ,diurnal cycle,unclear if this study's fluctuating treatment was just ambient environment in greenhouse or explicitly modified (I assume ambient given the publication date)
,31,harries_1948,temperature ,duration of egg stage,,Eutettix,Eutettix tenellus,,1-3,weeks,336,14,referenced in paper,,,none,sinusoidal ,not considered,insect ,individual,10,days ,10,24,hours,1,24,n ,diurnal cycle,
,31,harries_1948,temperature ,duration of nymphal stage ,,Eutettix,Eutettix tenellus,,1-3,weeks,336,14,referenced in paper,,,none,sinusoidal ,not considered,insect ,individual,10,days ,10,24,hours,1,24,n ,diurnal cycle,
,31,harries_1948,temperature ,duration of preovipostion period ,,Eutettix,Eutettix tenellus,,1-3,weeks,336,14,referenced in paper,,,none,sinusoidal ,not considered,insect ,individual,10,days ,10,24,hours,1,24,n ,diurnal cycle,
,31,harries_1948,temperature ,daily rate of egg laying,,Eutettix,Eutettix tenellus,,1-3,weeks,336,14,referenced in paper,,,none,sinusoidal ,not considered,insect ,individual,10,days ,10,24,hours,1,24,n ,diurnal cycle,
,32,joshi_1996,temperature ,developmental time,,Aedes,Aedes Krombeinz,developmental time,5.1-6.3,days,136.8,5.7,referenced in paper,26 C,,none,square ,not considered,insect ,individual,,,,24,hours ,1,24,y ,diurnal cycle,
,32,joshi_1996,temperature ,longevity,,Aedes,Aedes Krombeinz,developmental time,5.1-6.3,days,136.8,5.7,referenced in paper,26 C,,none,square ,not considered,insect ,individual,,,,24,hours ,1,24,y ,diurnal cycle,
,32,joshi_1996,temperature ,fecundity ,,Aedes,Aedes Krombeinz,developmental time,5.1-6.3,days,136.8,5.7,referenced in paper,26 C,,none,square ,not considered,insect ,individual,,,,24,hours ,1,24,y ,diurnal cycle,
,33,kingsolver_2015,temperature,short term larval growth rate,,Manduca,Manduca sexta L.,,18,days ,432,18,https://en.wikipedia.org/wiki/Manduca_sexta,,,none,sinusoidal ,not considered,insect ,individual,24,hours ,1,24,hours,1,24,y ,diurnal cycle,
,33,kingsolver_2015,temperature,time to 5th instar ,,Manduca,Manduca sexta L.,,18,days ,432,18,https://en.wikipedia.org/wiki/Manduca_sexta,,,none,sinusoidal ,not considered,insect ,individual,8-20 days ,instar,14,24,hours ,1,24,y,diurnal cycle,
,33,kingsolver_2015,temperature,mass and development time,,Manduca,Manduca sexta L.,,18,days ,432,18,https://en.wikipedia.org/wiki/Manduca_sexta,,,none,sinusoidal ,not considered,insect ,individual,8-20 days ,instar,14,24,hours ,1,24,y,diurnal cycle,
,33,kingsolver_2015,temperature,growth rate ,,Manduca,Manduca sexta L.,,18,days ,432,18,https://en.wikipedia.org/wiki/Manduca_sexta,,,none,sinusoidal ,not considered,insect ,individual,8-20 days ,instar,14,24,hours ,1,24,y,diurnal cycle,
,34,lin_1954,temperature ,percent hatched ,,Oncopeltus,Oncopeltus fasciatus ,,28-30,days ,696,29,"https://en.wikipedia.org/wiki/Large_milkweed_bug#:~:text=Life%20cycle,-This%20large%20milkweed&text=fasciatus%20begins%20as%20an%20egg,a%20few%20days%20of%20adulthood.",,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,duration ,,Oncopeltus,Oncopeltus fasciatus ,,28-30,days ,696,29,"https://en.wikipedia.org/wiki/Large_milkweed_bug#:~:text=Life%20cycle,-This%20large%20milkweed&text=fasciatus%20begins%20as%20an%20egg,a%20few%20days%20of%20adulthood.",,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,rate,,Oncopeltus,Oncopeltus fasciatus ,,28-30,days ,696,29,"https://en.wikipedia.org/wiki/Large_milkweed_bug#:~:text=Life%20cycle,-This%20large%20milkweed&text=fasciatus%20begins%20as%20an%20egg,a%20few%20days%20of%20adulthood.",,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,total percent development ,,Oncopeltus,Oncopeltus fasciatus ,,28-30,days ,696,29,"https://en.wikipedia.org/wiki/Large_milkweed_bug#:~:text=Life%20cycle,-This%20large%20milkweed&text=fasciatus%20begins%20as%20an%20egg,a%20few%20days%20of%20adulthood.",,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,percent hatched ,,Tribolium,Tribolium confusum ,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,duration ,,Tribolium,Tribolium confusum ,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,rate,,Tribolium,Tribolium confusum ,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,34,lin_1954,temperature ,total percent development ,,Tribolium,Tribolium confusum ,generation time,76.8-78.1,days,1858.8,77.45,https://www.mdpi.com/2075-4450/11/4/218/pdf,30 C,,none ,,not considered,,individual,,,,24,hours,1,24,y,"mathematical, diurnal cycle?",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,35,liu_1995,temperature,,,,,,,,,0,,,,,,,,,,,,,,,,,,
166,36,ludwig_1933,temperature ,development time ,,Drosophila,Drosophila Melanogaster Meigen,generation time,21.27,days ,510.48,21.27,https://bioone.org/journals/florida-entomologist/volume-97/issue-4/024.097.0418/Comparative-Developmental-Times-and-Laboratory-Life-Tables-for-Drosophlia-suzukii/10.1653/024.097.0418.full,25 C,,none ,sinusoidal,,,individual,,,,48,hours ,2,48,y ,"mathematical, one day at low, one day at high",
167,36,ludwig_1933,temperature ,percentage development ,,Drosophila,Drosophila Melanogaster Meigen,generation time,21.27,days ,510.48,21.27,https://bioone.org/journals/florida-entomologist/volume-97/issue-4/024.097.0418/Comparative-Developmental-Times-and-Laboratory-Life-Tables-for-Drosophlia-suzukii/10.1653/024.097.0418.full,25 C,,none ,sinusoidal,,,individual,,,,48,hours ,2,48,y ,"mathematical, one day at low, one day at high",
168,38,messenger_1969,temperature,developmental rate ,,Praon,Praon exsoletum,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
169,38,messenger_1969,temperature,developmental rate ,,Praon,Praon exsoletum,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
170,38,messenger_1969,temperature,egg-larval development time,,Praon,Praon exsoletum,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
171,38,messenger_1969,temperature,pupal development time ,,Praon,Praon exsoletum,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
172,38,messenger_1969,temperature,total development time,,Praon,Praon exsoletum,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
173,38,messenger_1969,temperature,developmental rate ,,Therioaphis,Therioaphis trifolii,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,sinusoidal,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
174,39,niehaus_2012,temperature ,body length ,,Limnodynastes,Limnodynastes peronii,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,non-linear ,,,individual,3,days,3,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
175,39,niehaus_2012,temperature ,maximal jump distance,,Limnodynastes,Limnodynastes peronii,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,non-linear ,,,individual,3,days,3,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
176,39,niehaus_2012,temperature ,mass at metamorphosis,,Limnodynastes,Limnodynastes peronii,generation time ,14.56,days ,349.44,14.56,https://www.researchgate.net/publication/270284403_Effect_of_Temperature_on_the_Development_and_Reproduction_of_a_Cereal_Aphid_Parasitoid_Lysiphlebia_mirzai_Shuja-Uddin_Hymenoptera_Braconidae,22 C,,none ,non-linear ,,,individual,3,days,3,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
177,40,siddiqui_1972,temperature ,survival rate (longevity),,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y ,"mathematical, diurnal cycle?",
178,40,siddiqui_1972,temperature ,percent mortality immature stages,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y ,"mathematical, diurnal cycle?",
179,40,siddiqui_1972,temperature ,developmental time ,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y ,"mathematical, diurnal cycle?",
180,40,siddiqui_1972,temperature ,time to 50% mortality ,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y,"mathematical, diurnal cycle?",
181,40,siddiqui_1972,temperature ,total fecundity ,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y,"mathematical, diurnal cycle?",
182,40,siddiqui_1972,temperature ,innate capacity for increase ,,Drosophila,Drosophila melanogaster,generation time,10,days ,240,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876951/,25 C,,none ,,,,individual,,,,12, hours ,0.5,12,y,"mathematical, diurnal cycle?",
183,41,simonet_1981,temperature ,egg development time,,Listronotus,Listronotus oregonensis,,,,,0,,,,none ,,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
184,41,simonet_1981,temperature ,larva development time ,,Listronotus,Listronotus oregonensis,,,,,0,,,,none ,,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
185,41,simonet_1981,temperature ,prepupa development time,,Listronotus,Listronotus oregonensis,,,,,0,,,,none ,,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
186,41,simonet_1981,temperature ,pupal development time ,,Listronotus,Listronotus oregonensis,,,,,0,,,,none ,,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
187,41,simonet_1981,temperature ,total development time,,Listronotus,Listronotus oregonensis,,,,,0,,,,none ,,,,individual,,,,24,hours ,1,24,y ,"mathematical, diurnal cycle?",
188,43,petchey_2000,temperature ,population density ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
189,43,petchey_2000,temperature ,population density ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
190,43,petchey_2000,temperature ,population density ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,red,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
191,43,petchey_2000,temperature ,population density ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,red ,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
192,43,petchey_2000,temperature ,population variability ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
193,43,petchey_2000,temperature ,population variability ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
194,43,petchey_2000,temperature ,population variability ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,red,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
195,43,petchey_2000,temperature ,population variability ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,red ,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
196,43,petchey_2000,temperature ,colour of population dynamics ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
197,43,petchey_2000,temperature ,colour of population dynamics ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,white,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
198,43,petchey_2000,temperature ,colour of population dynamics ,,Colpidium,Colpidium striatum ,generation time,1.5,days ,36,1.5,referenced in paper,22 C ,,none ,,red,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
199,43,petchey_2000,temperature ,colour of population dynamics ,,Paramecium,Paramecium aurelia ,generation time,0.3,days ,7.2,0.3,referenced in paper,22 C ,,none ,,red ,,population,65,days,65,12,hours ,0.5,12,y ,"mathematical, diurnal cycle?",
200,44,petchey_2002,temperature ,,,,Tillina sp,,,,,0,,,,,,,,community,,,,,,,,,,
201,44,petchey_2002,temperature,,,,Rotaria sp,,,,,0,,,,,,,,community,,,,,,,,,,
202,44,petchey_2002,temperature,,,,Monostyla sp,,,,,0,,,,,,,,community,,,,,,,,,,
203,44,petchey_2002,temperature,,,Paramecium,Paramecium sp,,,,,0,,,,,,,,community,,,,,,,,,,
204,44,petchey_2002,temperature,,,,Colpoda sp ,,,,,0,,,,,,,,community,,,,,,,,,,
205,44,petchey_2002,temperature,,,Tetrahymena,Tetrahymena thermophila ,,,,,0,,,,,,,,community,,,,,,,,,,
206,44,petchey_2002,temperature,,,Colpidium,Colpidium sp,,,,,0,,,,,,,,community,,,,,,,,,,
207,44,petchey_2002,temperature,,,,Loxocephalus sp ,,,,,0,,,,,,,,community,,,,,,,,,,
208,44,petchey_2002,temperature,,,,Uronema sp ,,,,,0,,,,,,,,community,,,,,,,,,,
209,44,petchey_2002,temperature,,,,Loxodes sp,,,,,0,,,,,,,,community,,,,,,,,,,
210,46,gonzalez_2004,temperature ,biomass,,,Synedra ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
211,46,gonzalez_2004,temperature ,biomass,,,Asterionella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
212,46,gonzalez_2004,temperature ,biomass,,,Staurastrum ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
213,46,gonzalez_2004,temperature ,biomass,,,Seenedesmus,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
214,46,gonzalez_2004,temperature ,biomass,,,Chlorella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
215,46,gonzalez_2004,temperature ,biomass,,,Kirchneriella ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
216,46,gonzalez_2004,temperature ,biomass,,,"Synedra, Staurastrum, Chlorella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
217,46,gonzalez_2004,temperature ,biomass,,,"Asterionella, Staurastrum, Kirchneriella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
218,46,gonzalez_2004,temperature ,biomass,,,"Synedra, Asterionella, Seenedesmus",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
219,46,gonzalez_2004,temperature ,biomass,,,"Synedra, Asterionella, Staurastrum, Seenedesmus, Chlorella, Kirchneriella ",,,,,0,,,,,,white,,community,21,days ,21,12,hours ,0.5,12,y,,
220,46,gonzalez_2004,temperature ,per capita growth rate ,,,Synedra ,,,,,0,,,,,,white,,population,21,days ,21,12,hours ,0.5,12,y,,
